id_lieu;type_de_tournage;titre;realisateur_ice;societe_de_production;localisation_de_la_scene;code_postal;date_de_debut;date_de_fin;longitude;latitude
2019-217;Long métrage;Musique de Chambre;Christophe Honoré;LES FILMS PELLEAS;avenue de l'observatoire, 75005 paris;75005;2019-03-18;2019-03-18;2.33695948;48.84035619
2019-549;Série TV;The Eddy;Damien Chazelle;atlantique productions;10 quai d'austerlitz, 75013 paris;75013;2019-05-28;2019-05-29;2.373063;48.83834873
2019-564;Long métrage;VILLA CAPRICE;BERNARD STORA;JPG FILMS;63 quai branly, 75007 paris;75007;2019-06-04;2019-06-05;2.2955745;48.86036433
2019-566;Série TV;The Eddy;Damien Chazelle;atlantique productions;59 rue claude decaen, 75012 paris;75012;2019-05-30;2019-05-30;2.39800084;48.83693269
2019-567;Série TV;The Eddy;Damien Chazelle;atlantique productions;rue claude decaen, 75012 paris;75012;2019-05-31;2019-06-01;2.39770468;48.83723057
2019-587;Long métrage;THE HUNTING;LEO ZHANG;SWEET DREAMS FILMS;85 rue du faubourg saint-denis, 75010 paris;75010;2019-06-05;2019-06-05;2.35483698;48.87365403
2019-1552;Série TV;Dix pour cent - Saison 4;Antoine GARCEAU - Marc FITOUSSI;Mon Voisin productions;rue de furstemberg, 75006 paris;75006;2019-11-19;2019-11-20;2.33572088;48.85438486
2019-1554;Série TV;MODERN FAMILY 11;Jim Bagdonas;FROGGIE PRODUCTION;3 quai de montebello, 75005 paris;75005;2019-11-15;2019-11-15;2.34995354;48.85148189
2019-1567;Série TV;Alice NEVERS;julien ZIDI;EGO PRoductions;74 quai des orfèvres, 75001 paris;75001;2019-11-16;2019-11-17;2.34150793;48.85678842
2019-1573;Long métrage;TROP D'AMOUR;Frankie WALLACH;EX NIHILO;place de la fontaine timbaud, 75011 paris;75011;2019-11-20;2019-11-20;2.37134336;48.86616491
2017-79;Long métrage;Les dents, pipi, au lit.;Emmanuel Gillibert;CG Cinéma;rue du faubourg saint-denis, 75010 paris;75010;2017-03-16;2017-03-16;2.3560512;48.87585783
2017-82;Long métrage;Les dents, pipi, au lit.;Emmanuel Gillibert;CG Cinéma;5 rue du huit mai 1945, 75010 paris;75010;2017-03-16;2017-03-16;2.35876596;48.87594953
2017-92;Long métrage;BIG BANG;Cécilia Rouaud;FIRELIGHT Big Bang;rue botzaris, 75019 paris;75019;2017-03-22;2017-03-22;2.3824194800000003;48.87876467
2017-95;Long métrage;GARDE ALTERNEE;Alexandra LECLERE;PAN EUROPEENNE;7 rue du jourdain, 75020 paris;75020;2017-03-16;2017-03-16;2.38927164;48.8747952
2017-190;Série Web;LOULOU;GERALDINE DE MARGERIE;La Onda productions;1 rue des montiboeufs, 75020 paris;75020;2017-03-23;2017-03-24;2.40574025;48.86613519
2017-197;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;2 rue turgot, 75009 paris;75009;2017-04-03;2017-04-03;2.34563865;48.87988847
2017-205;Long métrage;Un Cadeau du Ciel;Alain Chabat;Légendaire;20 rue du temple, 75004 paris;75004;2017-03-23;2017-03-24;2.35359686;48.85869705
2017-206;Série TV;CHRONIQUES PARISIENNES 12;ZABOU BREITMAN;LES FILMS DU KIOSQUE;105 rue de tolbiac, 75013 paris;75013;2017-03-22;2017-03-22;2.36469941;48.82661228
2017-232;Long métrage;Jean-François;Sergi Portabella;Surprise Alley;172 boulevard saint-germain, 75006 paris;75006;2017-04-10;2017-04-10;2.33256066;48.85413489
2017-255;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;place de la sorbonne, 75005 paris;75005;2017-04-10;2017-04-10;2.3422599;48.84866092
2017-256;Long métrage;Un cadeau du ciel;;Légendaire;20 rue du temple, 75004 paris;75004;2017-03-29;2017-03-30;2.35359686;48.85869705
2017-127;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;7 rue gomboust, 75001 paris;75001;2017-03-14;2017-03-14;2.33270277;48.86731081
2017-5;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;55 rue baudricourt, 75013 paris;75013;2017-02-13;2017-02-13;2.3631352;48.82577113
2017-21;Long métrage;UN CADEAU DU CIEL;Alain Chabat;legendaire;place blanche, 75009 paris;75009;2017-02-28;2017-03-01;2.33240846;48.88362939
2017-39;Long métrage;JALOUSE;Stéphane et David FOENKINOS;MANDARIN PRODUCTION;29 rue des vinaigriers, 75010 paris;75010;2017-02-27;2017-02-27;2.36253764;48.87310137
2017-58;Long métrage;La Femme la plus assassinée du monde;Franck Ribiere;Polaris Film;29 rue berthe, 75018 paris;75018;2017-03-09;2017-03-10;2.34046409;48.88534198
2017-308;Série Web;Ramadan à Paris;Pape Amadou SY;Culture Univers;20 rue des gardes, 75018 paris;75018;2017-04-19;2017-04-19;2.35301597;48.88614587
2017-317;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;18 place vendôme, 75001 paris;75001;2017-04-21;2017-04-21;2.33040959;48.86740947
2017-320;Long métrage;Première Année (2ème Partie);Thomas Lilti;LES FILMS DU PARC;rue des carmes, 75005 paris;75005;2017-05-11;2017-05-12;2.3478408;48.8496684
2017-335;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;48 avenue du docteur arnold netter, 75012 paris;75012;2017-08-28;2017-08-28;2.40571945;48.84406451
2017-342;Téléfilm;UN ADULTERE;PHILIPPE HAREL;SCARLETT PRODUCTION;1 rue des périchaux, 75015 paris;75015;2017-09-05;2017-09-05;2.29681175;48.83087879
2017-344;Série TV;THE ROMANOFFS;MATTHEW WEINER;GEM FILMS;66 rue de rivoli, 75004 paris;75004;2017-08-10;2017-08-11;2.35222456;48.85744338
2017-350;Téléfilm;LE TEMPS DES EGARES;VIRGINIE SAUVEUR;DELANTE PRODUCTIONS;rue de caumartin, 75009 paris;75009;2017-08-31;2017-08-31;2.3284038;48.87420396
2017-351;Téléfilm;LE TEMPS DES EGARES;VIRGINIE SAUVEUR;DELANTE PRODUCTIONS;17 rue pajol, 75018 paris;75018;2017-08-26;2017-08-26;2.36073114;48.88590672
2017-283;Série Web;F2 Football Freestyle Documentary;Richard Jobson;Renowned Films;jardins du trocadero, 75116 paris;75116;2017-04-13;2017-04-13;2.28811871;48.86086946
2017-290;Long métrage;Un cadeau du ciel;;Légendaire;passage josset, 75011 paris;75011;2017-04-13;2017-04-14;2.3765750900000002;48.85264131
2017-154;Long métrage;BELLEVILLE'S COP;Rachid Bouchareb;TESSALIT PRODUCTIONS;60 boulevard de belleville, 75020 paris;75020;2017-04-07;2017-04-07;2.38082915;48.86928694
2017-174;Téléfilm;Si Paris n'était pas joyeux;Zhang bo li et Wang chen Xi;comme une image;172 avenue ledru-rollin, 75011 paris;75011;2017-03-20;2017-03-20;2.37967019;48.85709087
2017-515;Long métrage;LA FETE DES MERES;MARIE-CASTILLE MENTION-SCHAAR;WILLOW FILMS;104 avenue ledru-rollin, 75011 paris;75011;2017-09-19;2017-09-20;2.3769140699999998;48.85233442
2017-530;Long métrage;LE POULAIN;Mathieu Sapin;PYRAMIDE PRODUCTIONS;quai d'orsay, 75007 paris;75007;2017-09-19;2017-09-19;2.30995863;48.86256834
2017-533;Série TV;NOX;Mabrouk el Mechri;Gaumont Télévision c/o Gaumont Production Télévision;46 rue de dunkerque, 75009 paris;75009;2017-09-18;2017-09-18;2.34886736;48.88143033
2017-537;Téléfilm;Le Temps des Egarés;Virginie Sauveur;DELANTE PRODUCTIONS;1 parvis notre-dame place jean-paul ii, 75004 paris;75004;2017-09-08;2017-09-08;2.34834717;48.8539284
2017-547;Série TV;Baron noir;Antoine Chevrollier - Ziad Doueiri;KWAI;12 rue de solférino, 75007 paris;75007;2017-09-29;2017-09-29;2.32274565;48.8593827
2017-567;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;33 rue de fécamp, 75012 paris;75012;2017-09-23;2017-09-23;2.39966482;48.83593087
2017-434;Long métrage;SUN;Jonathan;Rouge International;rue jean-françois lépine, 75018 paris;75018;2017-08-27;2017-08-27;2.35669529;48.88608368
2017-658;Série TV;Joséphine Ange Gardien Tous pour un;Thierry Petit;DEMD PRODUCTIONS;8 rue saint-bernard, 75011 paris;75011;2017-10-11;2017-10-11;2.38164061;48.85097261
2017-673;Long métrage;Premieres Vacances;Patrick Cassir;The Film;39 quai de la loire, 75019 paris;75019;2017-10-11;2017-10-12;2.37872173;48.88740489
2017-674;Long métrage;Premieres Vacances;Patrick Cassir;The Film;39 quai de la loire, 75019 paris;75019;2017-10-11;2017-10-12;2.37872173;48.88740489
2017-399;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;avenue winston churchill, 75008 paris;75008;2017-08-25;2017-08-26;2.3139305;48.866968
2017-401;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;10 avenue d'iéna, 75116 paris;75116;2017-08-24;2017-08-25;2.29321926;48.86378335
2017-403;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;28 place de la bourse, 75002 paris;75002;2017-08-23;2017-08-24;2.34185526;48.86940492
2017-410;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;21 rue paul albert, 75018 paris;75018;2017-08-23;2017-08-23;2.34507822;48.88746534
2017-416;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;1 place de la république dominicaine, 75008 paris;75008;2017-08-25;2017-08-25;2.30925348;48.88027314
2017-417;Long métrage;Mauvaises Herbes;Kheiron;Païva Films;place de la république, 75011 paris;75011;2017-09-01;2017-09-01;2.36479185;48.86635144
2017-433;Long métrage;SUN;Jonathan;Rouge International;quai de la seine, 75019 paris;75019;2017-08-27;2017-08-27;2.37026782;48.88452068
2017-825;Série Web;Skam;David Hourrègue;Gétévé Productions;passage du bureau, 75011 paris;75011;2017-10-24;2017-10-24;2.39420177;48.85334616
2017-762;Série Web;ecole de cuisine;Zhou gao wu;comme une image;place de la république, 75011 paris;75011;2017-10-31;2017-10-31;2.36479185;48.86635144
2017-780;Série TV;GENIUS Saison 2 - PICASSO;Ken Biller;Froggie Production - Genius;23 rue des grands augustins, 75006 paris;75006;2017-10-27;2017-10-27;2.34044071;48.8539015
2017-982;Téléfilm;LA VIE SAUVE;MARION LAINE;CAMINANDO PRODUCTIONS;1 rue des panoyaux, 75020 paris;75020;2017-11-29;2017-11-30;2.38428449;48.86619549
2017-1001;Série TV;New Horizon;M. CHOY CHING SHING CLEMENT;Comme une image;avenue de tourville, 75007 paris;75007;2017-11-23;2017-11-25;2.30854013;48.85401209
2017-1006;Long métrage;SYNONYMES;Nadav Lapid;SBS FILMS;5 place saint-michel, 75005 paris;75005;2017-12-05;2017-12-05;2.3443123999999997;48.85317347
2017-1017;Long métrage;TERRITOIRES;DAVID OELHOFFEN;ONE WORLD FILMS;3 rue verniquet, 75017 paris;75017;2017-12-07;2017-12-07;2.30047526;48.88689134
2017-1018;Long métrage;TERRITOIRES;DAVID OELHOFFEN;ONE WORLD FILMS;1 rue alphonse de neuville, 75017 paris;75017;2017-12-06;2017-12-06;2.302812;48.88545076
2017-732;Long métrage;VOLTAIRE;Stephen Woolfenden;PENINSULA FILM;rue de vaugirard, 75015 paris;75015;2017-10-12;2017-10-12;2.29436215;48.83626066
2017-1193;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;parvis notre-dame place jean-paul ii, 75004 paris;75004;2017-05-19;2017-05-19;2.34742343;48.85356537
2017-1097;Long métrage;une jeunesse dorée;Eva Ionesco;MACASSAR PRODUCTIONS;place goldoni, 75002 paris;75002;2017-12-15;2017-12-16;2.34846874;48.86503152
2017-1106;Téléfilm;LA VIE SAUVE;MARION LAINE;CAMINANDO PRODUCTIONS;13 rue jean macé, 75011 paris;75011;2017-12-19;2017-12-19;2.38342415;48.85310812
2017-1562;Long métrage;La Ch'Tite Famille;;Pathé ProdExé;23 avenue de friedland, 75008 paris;75008;2017-07-20;2017-07-20;2.30184598;48.87429063
2017-898;Série TV;84.2;PLAIGNAUD DENIS;;4 square rapp, 75007 paris;75007;2017-04-29;2017-04-29;2.30108453;48.85864424
2017-935;Long métrage;Synonymes;Nadav Lapid;SBS FILMS;place saint-germain des prés, 75006 paris;75006;2017-11-20;2017-11-20;2.33340112;48.85393988
2017-1237;Téléfilm;Diana and I;Peter Cattaneo;Froggie Production;10 place de mexico, 75116 paris;75116;2017-06-12;2017-06-13;2.28305334;48.86565024
2017-1028;Série TV;New Horizon (additif 1);;Comme une image;avenue des champs elysées, 75008 paris;75008;2017-11-22;2017-11-22;2.30528845;48.87053329
2017-1030;Série TV;New Horizon (additif 2);;Comme une image;place de l'opéra, 75009 paris;75009;2017-11-27;2017-11-27;2.33187457;48.8710898
2017-1037;Série TV;New Horizon (additif 2);;Comme une image;parvis notre-dame place jean-paul ii, 75004 paris;75004;2017-11-25;2017-11-25;2.34742343;48.85356537
2017-1047;Série Web;Arthur dans la foret;;WONDERCORP;5 avenue de la république, 75011 paris;75011;2017-12-21;2017-12-21;2.36754691;48.86674287
2017-1380;Long métrage;Les Affamés;Léa Frédeval;LES FILMS DU CLAN;rue de la verrerie, 75004 paris;75004;2017-06-30;2017-06-30;2.35539005;48.85701442
2017-1396;Long métrage;MRS MILLS;sophie marceau;les films du Cap;rue soufflot, 75005 paris;75005;2017-06-16;2017-06-16;2.3428294;48.846912520000004
2017-1406;Série TV;POTOMAC mulot floquet Mare et champ de mars;Dan Sackheim;FROGGIE PRODUCTION;avenue charles floquet, 75007 paris;75007;2017-06-29;2017-06-29;2.2963665300000002;48.85487286
2017-1606;Long métrage;AMANDA;Mikhael Hers;Nord-Ouest films;place mireille havet, 75011 paris;75011;2017-08-11;2017-08-11;2.3839404;48.85034046
2017-1610;Long métrage;AMANDA;Mikhael Hers;Nord-Ouest films;place valhubert, 75005 paris;75005;2017-08-08;2017-08-08;2.36398421;48.84472901
2017-1492;Long métrage;À jamais fidèle;cheyenne carron;Hesiode Productions;2 rue michel de bourges, 75020 paris;75020;2017-08-25;2017-08-25;2.40011725;48.85408465
2017-1493;Long métrage;À jamais fidèle;cheyenne carron;Hesiode Productions;46 boulevard de charonne, 75020 paris;75020;2017-08-24;2017-08-25;2.3986003399999998;48.85154734
2017-1507;Long métrage;À jamais fidèle;cheyenne carron;Hesiode Productions;place rodin, 75016 paris;75016;2017-08-11;2017-08-11;2.2709217600000002;48.85348889
2017-1523;Long métrage;Cold war;Pawel PAWLIKOWSKI;Philippe Lelièvre;3 rue de lota, 75116 paris;75116;2017-07-20;2017-07-21;2.27612446;48.86725275
2017-1541;Long métrage;UNDER THE EIFFEL TOWER;ARCHIE BORDERS;KANZAMAN FRANCE;rue du château, 75014 paris;75014;2017-07-18;2017-07-18;2.32131585;48.83459708
2017-1441;Série TV;ALICE NEVERS;STEPHAN KOPECKY;ego productions;esplanade nathalie sarraute, 75018 paris;75018;2017-01-25;2017-01-25;2.3628666799999998;48.88917182
2017-1458;Long métrage;Plaire...;Christophe Honoré;LES FILMS PELLEAS Plaire...;151 boulevard saint-germain, 75006 paris;75006;2017-07-17;2017-07-17;2.33243307;48.85377085
2017-1313;Long métrage;Eiffel i'm in love 2;Rizal Mantovani;IFILMFRANCE;port de suffren, 75015 paris;75015;2017-06-09;2017-06-10;2.28939041;48.85654265
2017-1332;Série TV;One Woman;Maxime Taris;La Fémis;rue deguerry, 75011 paris;75011;2017-06-13;2017-06-13;2.37290477;48.8685375
2017-1344;Long métrage;L'extraordinaire voyage du Fakir;Ken Scott;Brio Films;rue maurice utrillo, 75018 paris;75018;2017-07-20;2017-07-21;2.34489393;48.88635692
2017-1689;Série TV;JUSTE UN REGARD;LUDOVIC COLBEAU-JUSTIN;VAB;rue du capitaine ferber, 75020 paris;75020;2017-01-16;2017-01-16;2.4063141999999997;48.86638781
2017-1714;Long métrage;La belle et la belle;Sophie Fillières;CHRISTMAS IN JULY;19 rue lesage, 75020 paris;75020;2017-02-07;2017-02-07;2.38195588;48.87238855
2017-1740;Série TV;LIKE ME saison 2;Romuald Boulanger;R-LINES PRODUCTIONS;11 rue meynadier, 75019 paris;75019;2017-02-23;2017-02-23;2.38321128;48.88355004
2017-1743;Série TV;QUADRAS;ISABELLE DOVAL;B2FILMS;12 avenue trudaine, 75009 paris;75009;2017-02-09;2017-02-09;2.3434236999999998;48.88148627
2017-1469;Long métrage;CHRIST(OFF);PIERRE DUDAN;FECHNER FILMS;4 rue erasme, 75005 paris;75005;2017-07-11;2017-07-11;2.34602091;48.84235235
2018-75;Série TV;LRDM - Patriot season 2;Steven Conrad;NW2018 (c/o Firstep);rue d'alsace, 75010 paris;75010;2018-01-28;2018-01-28;2.35829242;48.87793919
2018-76;Long métrage;L'Enkas;Sarah Marx;La rumeur filme;2 rue duhesme, 75018 paris;75018;2018-01-25;2018-01-27;2.33705207;48.89030559
2018-78;Long métrage;L'Enkas;Sarah Marx;La rumeur filme;191 rue championnet, 75018 paris;75018;2018-01-25;2018-01-27;2.33254293;48.89405934
2018-97;Long métrage;HAUTE SOCIETE;BYUN HYUK;KEYSTONE FILMS;place saint-gervais, 75004 paris;75004;2018-02-01;2018-02-01;2.35416512;48.85582175
2018-106;Téléfilm;Les Michetonneuses;Olivier Doran;JEM PRODUCTIONS;25 rue des archives, 75004 paris;75004;2018-02-05;2018-02-05;2.35568483;48.85905468
2018-111;Long métrage;LA LUTTE DES CLASSES;Michel Leclerc;KARE PRODUCTIONS;avenue de la porte de bagnolet, 75020 paris;75020;2018-02-14;2018-02-14;2.4111162;48.865014790000004
2017-1567;Long métrage;Un homme pressé;;Albertine Productions;place georges mulot, 75015 paris;75015;2017-07-17;2017-07-17;2.3099660699999998;48.84698001
2018-25;Série TV;ALICE NEVERS episodes 98,99 saison 15;jean christophe delpias;EGO PRoductions;rue germaine tailleferre, 75019 paris;75019;2018-01-08;2018-01-08;2.38593076;48.88877735
2018-36;Série TV;ALICE NEVERS episodes 98,99 saison 15;jean christophe delpias;EGO PRoductions;90 rue rené boulanger, 75010 paris;75010;2018-01-10;2018-01-11;2.35657887;48.86928199
2018-46;Long métrage;MON INCONNUE;HUGO GÉLIN;ZAZI FILMS;10b avenue trudaine, 75009 paris;75009;2018-01-17;2018-01-18;2.34454058;48.88170491
2018-375;Série TV;Can't Buy me love;Noémie Saglio - Renaud Bertrand;Unrated Studio;1 rue du rhin, 75019 paris;75019;2018-03-28;2018-03-28;2.38107462;48.88526858
2018-380;Série TV;Like Me;Romuald Boulanger;R-Lines Productions;16 boulevard pasteur, 75015 paris;75015;2018-04-26;2018-04-26;2.31171758;48.84345073
2017-1644;Série TV;PROFILAGE EPISODES 83 ET 84;Julien DESPAUX ET SEBASIEN CIRADE;BEAUBOURG AUDIOVISUEL;rue saint-victor, 75005 paris;75005;2017-07-31;2017-07-31;2.35024547;48.84859142
2018-253;Série TV;Bliss;Marie Jardillier, Mathieu Oullion;SAS MAJA FILMS;10 rue saint-claude, 75003 paris;75003;2018-03-03;2018-03-03;2.36624307;48.86016058
2018-278;Long métrage;MAIS VOUS ETES FOUS;audrey Diwan;RECTANGLE PRODUCTIONS;84 avenue kléber, 75116 paris;75116;2018-03-12;2018-03-16;2.28963866;48.86673002
2018-279;Série Web;BK web - Wooper dog;;MOMMY PRODUCTION;2 quai de l'archevêché, 75004 paris;75004;2018-03-09;2018-03-09;2.35178114;48.8522559
2018-282;Série TV;The Marvelous Mrs Maisel;Amy Sherman-Palladino et Dan Palladino;NW 2018;place des petits pères, 75002 paris;75002;2018-03-16;2018-03-18;2.34061567;48.86643116
2018-313;Série TV;engrenages S7;Frederic Jardin;Son et Lumière;38 rue doudeauville, 75018 paris;75018;2018-03-08;2018-03-09;2.35533964;48.88871627
2018-316;Série TV;DIX POUR CENT  SAISON 3;;MON VOISIN PRODUCTION;175 rue saint-maur, 75011 paris;75011;2018-03-30;2018-03-30;2.37293203;48.87036847
2018-19;Série TV;ENGRENAGES S7;Frédéric JARDIN;Son et Lumière;14 rue du pressoir, 75020 paris;75020;2018-01-22;2018-01-25;2.38341532;48.86881927
2018-156;Long métrage;MAIS VOUS ETES FOUS;Audrey DIWAN;RECTANGLE PRODUCTIONS;39 rue de la harpe, 75005 paris;75005;2018-02-22;2018-02-22;2.34431138;48.85198327
2018-162;Long métrage;ZONE FRANCHE;Monsieur Mohamed Hamidi;ADNP QUAD FILMS;place de l'opéra, 75009 paris;75009;2018-02-23;2018-02-23;2.33187457;48.8710898
2018-171;Long métrage;Andy;David Weill;My Family;10 rue des frigos, 75013 paris;75013;2018-02-26;2018-02-26;2.38012818;48.83080552
2018-389;Série TV;WHISKEY CAVALIER;Peter Atencio;PENINSULA TELEVISION;11 rue berryer, 75008 paris;75008;2018-03-31;2018-03-31;2.30359909;48.87536846
2018-392;Long métrage;MON BEBE;LISA AZUELOS;LOVE IS IN THE AIR;boulevard de reuilly, 75012 paris;75012;2018-04-09;2018-04-11;2.39494495;48.83955987
2018-423;Long métrage;PLAY;Anthony Marciano;Chapter 2;1 rue botzaris, 75019 paris;75019;2018-03-28;2018-03-29;2.38101742;48.87647305
2018-342;Long métrage;Andy;Julien Weill;My Family;296 rue saint-honoré, 75001 paris;75001;2018-03-21;2018-03-22;2.33223937;48.86495387
2018-349;Long métrage;MON BEBE;LISA AZUELOS;LOVE IS IN THE AIR;100 rue des dames, 75017 paris;75017;2018-03-28;2018-03-29;2.31716791;48.88278806
2018-369;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;rue mallet-stevens, 75016 paris;75016;2018-03-30;2018-03-30;2.26606442;48.85484957
2018-222;Série TV;DIX POUR CENT SAISON 3;;MON VOISIN PRODUCTION;104 avenue des champs elysées, 75008 paris;75008;2018-03-12;2018-03-14;2.30183662;48.87198211
2018-477;Téléfilm;Tu vivras ma fille;Gabriel Aghion;GMT PRODUCTIONS;12 rue lagarde, 75005 paris;75005;2018-04-06;2018-04-06;2.34788548;48.84024104
2018-478;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;9 rue louis david, 75116 paris;75116;2018-04-12;2018-04-18;2.2811568700000002;48.86158801
2018-496;Long métrage;PLAY;Anthony Marciano;Chapter 2;8 port de montebello, 75005 paris;75005;2018-04-12;2018-04-12;2.34949751;48.85202623
2018-507;Série TV;EGLANDINE;FLO BER;STUDIO BAGEL;rue jean-marie jégo, 75013 paris;75013;2018-04-23;2018-04-23;2.35180084;48.82803308
2018-328;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;place georges pompidou, 75004 paris;75004;2018-03-20;2018-03-20;2.35151341;48.86024279
2018-528;Série TV;DIX POUR CENT SAISON 3;;MON VOISIN PRODUCTION;rue de furstemberg, 75006 paris;75006;2018-04-16;2018-04-17;2.33572088;48.85438486
2018-538;Long métrage;MON BEBE;LISA AZUELOS;LOVE IS IN THE AIR;quai d'austerlitz, 75013 paris;75013;2018-04-11;2018-04-13;2.37195434;48.83921703
