id_lieu;type_de_tournage;titre;realisateur_ice;societe_de_production;fk_localisation;date_de_debut;date_de_fin
2017-79;Long métrage;Les dents, pipi, au lit.;Emmanuel Gillibert;CG Cinéma;4953;2017-03-16;2017-03-16
2017-82;Long métrage;Les dents, pipi, au lit.;Emmanuel Gillibert;CG Cinéma;2654;2017-03-16;2017-03-16
2017-92;Long métrage;BIG BANG;Cécilia Rouaud;FIRELIGHT Big Bang;4561;2017-03-22;2017-03-22
2017-95;Long métrage;GARDE ALTERNEE;Alexandra LECLERE;PAN EUROPEENNE;3154;2017-03-16;2017-03-16
2017-190;Série Web;LOULOU;GERALDINE DE MARGERIE;La Onda productions;135;2017-03-23;2017-03-24
2017-197;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;1393;2017-04-03;2017-04-03
2017-205;Long métrage;Un Cadeau du Ciel;Alain Chabat;Légendaire;1428;2017-03-23;2017-03-24
2017-206;Série TV;CHRONIQUES PARISIENNES 12;ZABOU BREITMAN;LES FILMS DU KIOSQUE;330;2017-03-22;2017-03-22
2017-232;Long métrage;Jean-François;Sergi Portabella;Surprise Alley;1060;2017-04-10;2017-04-10
2017-255;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;4170;2017-04-10;2017-04-10
2017-256;Long métrage;Un cadeau du ciel;;Légendaire;1428;2017-03-29;2017-03-30
2017-127;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;3156;2017-03-14;2017-03-14
2017-5;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;2792;2017-02-13;2017-02-13
2017-21;Long métrage;UN CADEAU DU CIEL;Alain Chabat;legendaire;4101;2017-02-28;2017-03-01
2017-39;Long métrage;JALOUSE;Stéphane et David FOENKINOS;MANDARIN PRODUCTION;1826;2017-02-27;2017-02-27
2017-58;Long métrage;La Femme la plus assassinée du monde;Franck Ribiere;Polaris Film;1819;2017-03-09;2017-03-10
2017-308;Série Web;Ramadan à Paris;Pape Amadou SY;Culture Univers;1423;2017-04-19;2017-04-19
2017-317;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;1092;2017-04-21;2017-04-21
2017-320;Long métrage;Première Année (2ème Partie);Thomas Lilti;LES FILMS DU PARC;4856;2017-05-11;2017-05-12
2017-335;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;2528;2017-08-28;2017-08-28
2017-342;Téléfilm;UN ADULTERE;PHILIPPE HAREL;SCARLETT PRODUCTION;137;2017-09-05;2017-09-05
2017-344;Série TV;THE ROMANOFFS;MATTHEW WEINER;GEM FILMS;3055;2017-08-10;2017-08-11
2017-350;Téléfilm;LE TEMPS DES EGARES;VIRGINIE SAUVEUR;DELANTE PRODUCTIONS;4663;2017-08-31;2017-08-31
2017-351;Téléfilm;LE TEMPS DES EGARES;VIRGINIE SAUVEUR;DELANTE PRODUCTIONS;1039;2017-08-26;2017-08-26
2017-283;Série Web;F2 Football Freestyle Documentary;Richard Jobson;Renowned Films;4011;2017-04-13;2017-04-13
2017-290;Long métrage;Un cadeau du ciel;;Légendaire;4068;2017-04-13;2017-04-14
2017-154;Long métrage;BELLEVILLE'S COP;Rachid Bouchareb;TESSALIT PRODUCTIONS;2960;2017-04-07;2017-04-07
2017-174;Téléfilm;Si Paris n'était pas joyeux;Zhang bo li et Wang chen Xi;comme une image;1059;2017-03-20;2017-03-20
2017-515;Long métrage;LA FETE DES MERES;MARIE-CASTILLE MENTION-SCHAAR;WILLOW FILMS;321;2017-09-19;2017-09-20
2017-530;Long métrage;LE POULAIN;Mathieu Sapin;PYRAMIDE PRODUCTIONS;4430;2017-09-19;2017-09-19
2017-533;Série TV;NOX;Mabrouk el Mechri;Gaumont Télévision c/o Gaumont Production Télévision;2487;2017-09-18;2017-09-18
2017-537;Téléfilm;Le Temps des Egarés;Virginie Sauveur;DELANTE PRODUCTIONS;48;2017-09-08;2017-09-08
2017-547;Série TV;Baron noir;Antoine Chevrollier - Ziad Doueiri;KWAI;530;2017-09-29;2017-09-29
2017-567;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;2061;2017-09-23;2017-09-23
2017-434;Long métrage;SUN;Jonathan;Rouge International;5105;2017-08-27;2017-08-27
2017-658;Série TV;Joséphine Ange Gardien Tous pour un;Thierry Petit;DEMD PRODUCTIONS;3364;2017-10-11;2017-10-11
2017-673;Long métrage;Premieres Vacances;Patrick Cassir;The Film;2222;2017-10-11;2017-10-12
2017-674;Long métrage;Premieres Vacances;Patrick Cassir;The Film;2222;2017-10-11;2017-10-12
2017-399;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;3824;2017-08-25;2017-08-26
2017-401;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;201;2017-08-24;2017-08-25
2017-403;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;1793;2017-08-23;2017-08-24
2017-410;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;1499;2017-08-23;2017-08-23
2017-416;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;66;2017-08-25;2017-08-25
2017-417;Long métrage;Mauvaises Herbes;Kheiron;Païva Films;4166;2017-09-01;2017-09-01
2017-433;Long métrage;SUN;Jonathan;Rouge International;4452;2017-08-27;2017-08-27
2017-825;Série Web;Skam;David Hourrègue;Gétévé Productions;4059;2017-10-24;2017-10-24
2017-762;Série Web;ecole de cuisine;Zhou gao wu;comme une image;4166;2017-10-31;2017-10-31
2017-780;Série TV;GENIUS Saison 2 - PICASSO;Ken Biller;Froggie Production - Genius;1593;2017-10-27;2017-10-27
2017-982;Téléfilm;LA VIE SAUVE;MARION LAINE;CAMINANDO PRODUCTIONS;136;2017-11-29;2017-11-30
2017-1001;Série TV;New Horizon;M. CHOY CHING SHING CLEMENT;Comme une image;3728;2017-11-23;2017-11-25
2017-1006;Long métrage;SYNONYMES;Nadav Lapid;SBS FILMS;2607;2017-12-05;2017-12-05
2017-1017;Long métrage;TERRITOIRES;DAVID OELHOFFEN;ONE WORLD FILMS;1949;2017-12-07;2017-12-07
2017-1018;Long métrage;TERRITOIRES;DAVID OELHOFFEN;ONE WORLD FILMS;91;2017-12-06;2017-12-06
2017-732;Long métrage;VOLTAIRE;Stephen Woolfenden;PENINSULA FILM;4836;2017-10-12;2017-10-12
2017-1193;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;4039;2017-05-19;2017-05-19
2017-1097;Long métrage;une jeunesse dorée;Eva Ionesco;MACASSAR PRODUCTIONS;4259;2017-12-15;2017-12-16
2017-1106;Téléfilm;LA VIE SAUVE;MARION LAINE;CAMINANDO PRODUCTIONS;645;2017-12-19;2017-12-19
2017-1562;Long métrage;La Ch'Tite Famille;;Pathé ProdExé;1572;2017-07-20;2017-07-20
2017-898;Série TV;84.2;PLAIGNAUD DENIS;;2346;2017-04-29;2017-04-29
2017-935;Long métrage;Synonymes;Nadav Lapid;SBS FILMS;4328;2017-11-20;2017-11-20
2017-1237;Téléfilm;Diana and I;Peter Cattaneo;Froggie Production;215;2017-06-12;2017-06-13
2017-1028;Série TV;New Horizon (additif 1);;Comme une image;3735;2017-11-22;2017-11-22
2017-1030;Série TV;New Horizon (additif 2);;Comme une image;4144;2017-11-27;2017-11-27
2017-1037;Série TV;New Horizon (additif 2);;Comme une image;4039;2017-11-25;2017-11-25
2017-1047;Série Web;Arthur dans la foret;;WONDERCORP;2583;2017-12-21;2017-12-21
2017-1380;Long métrage;Les Affamés;Léa Frédeval;LES FILMS DU CLAN;4758;2017-06-30;2017-06-30
2017-1396;Long métrage;MRS MILLS;sophie marceau;les films du Cap;5362;2017-06-16;2017-06-16
2017-1406;Série TV;POTOMAC mulot floquet Mare et champ de mars;Dan Sackheim;FROGGIE PRODUCTION;3672;2017-06-29;2017-06-29
2017-1606;Long métrage;AMANDA;Mikhael Hers;Nord-Ouest films;4307;2017-08-11;2017-08-11
2017-1610;Long métrage;AMANDA;Mikhael Hers;Nord-Ouest films;4337;2017-08-08;2017-08-08
2017-1492;Long métrage;À jamais fidèle;cheyenne carron;Hesiode Productions;1373;2017-08-25;2017-08-25
2017-1493;Long métrage;À jamais fidèle;cheyenne carron;Hesiode Productions;2478;2017-08-24;2017-08-25
2017-1507;Long métrage;À jamais fidèle;cheyenne carron;Hesiode Productions;4324;2017-08-11;2017-08-11
2017-1523;Long métrage;Cold war;Pawel PAWLIKOWSKI;Philippe Lelièvre;1915;2017-07-20;2017-07-21
2017-1541;Long métrage;UNDER THE EIFFEL TOWER;ARCHIE BORDERS;KANZAMAN FRANCE;4933;2017-07-18;2017-07-18
2017-1441;Série TV;ALICE NEVERS;STEPHAN KOPECKY;ego productions;3976;2017-01-25;2017-01-25
2017-1458;Long métrage;Plaire...;Christophe Honoré;LES FILMS PELLEAS Plaire...;882;2017-07-17;2017-07-17
2017-1313;Long métrage;Eiffel i'm in love 2;Rizal Mantovani;IFILMFRANCE;4396;2017-06-09;2017-06-10
2017-1332;Série TV;One Woman;Maxime Taris;La Fémis;4839;2017-06-13;2017-06-13
2017-1344;Long métrage;L'extraordinaire voyage du Fakir;Ken Scott;Brio Films;5201;2017-07-20;2017-07-21
2017-1689;Série TV;JUSTE UN REGARD;LUDOVIC COLBEAU-JUSTIN;VAB;4927;2017-01-16;2017-01-16
2017-1714;Long métrage;La belle et la belle;Sophie Fillières;CHRISTMAS IN JULY;1188;2017-02-07;2017-02-07
2017-1740;Série TV;LIKE ME saison 2;Romuald Boulanger;R-LINES PRODUCTIONS;419;2017-02-23;2017-02-23
2017-1743;Série TV;QUADRAS;ISABELLE DOVAL;B2FILMS;489;2017-02-09;2017-02-09
2017-1469;Long métrage;CHRIST(OFF);PIERRE DUDAN;FECHNER FILMS;2310;2017-07-11;2017-07-11
2018-75;Série TV;LRDM - Patriot season 2;Steven Conrad;NW2018 (c/o Firstep);4623;2018-01-28;2018-01-28
2018-76;Long métrage;L'Enkas;Sarah Marx;La rumeur filme;1352;2018-01-25;2018-01-27
2018-78;Long métrage;L'Enkas;Sarah Marx;La rumeur filme;1194;2018-01-25;2018-01-27
2018-97;Long métrage;HAUTE SOCIETE;BYUN HYUK;KEYSTONE FILMS;4329;2018-02-01;2018-02-01
2018-106;Téléfilm;Les Michetonneuses;Olivier Doran;JEM PRODUCTIONS;1699;2018-02-05;2018-02-05
2018-111;Long métrage;LA LUTTE DES CLASSES;Michel Leclerc;KARE PRODUCTIONS;3706;2018-02-14;2018-02-14
2017-1567;Long métrage;Un homme pressé;;Albertine Productions;4257;2017-07-17;2017-07-17
2018-25;Série TV;ALICE NEVERS episodes 98,99 saison 15;jean christophe delpias;EGO PRoductions;5064;2018-01-08;2018-01-08
2018-36;Série TV;ALICE NEVERS episodes 98,99 saison 15;jean christophe delpias;EGO PRoductions;3582;2018-01-10;2018-01-11
2018-46;Long métrage;MON INCONNUE;HUGO GÉLIN;ZAZI FILMS;353;2018-01-17;2018-01-18
2018-375;Série TV;Can't Buy me love;Noémie Saglio - Renaud Bertrand;Unrated Studio;147;2018-03-28;2018-03-28
2018-380;Série TV;Like Me;Romuald Boulanger;R-Lines Productions;910;2018-04-26;2018-04-26
2017-1644;Série TV;PROFILAGE EPISODES 83 ET 84;Julien DESPAUX ET SEBASIEN CIRADE;BEAUBOURG AUDIOVISUEL;5337;2017-07-31;2017-07-31
2018-253;Série TV;Bliss;Marie Jardillier, Mathieu Oullion;SAS MAJA FILMS;274;2018-03-03;2018-03-03
2018-278;Long métrage;MAIS VOUS ETES FOUS;audrey Diwan;RECTANGLE PRODUCTIONS;3423;2018-03-12;2018-03-16
2018-279;Série Web;BK web - Wooper dog;;MOMMY PRODUCTION;1277;2018-03-09;2018-03-09
2018-282;Série TV;The Marvelous Mrs Maisel;Amy Sherman-Palladino et Dan Palladino;NW 2018;4193;2018-03-16;2018-03-18
2018-313;Série TV;engrenages S7;Frederic Jardin;Son et Lumière;2211;2018-03-08;2018-03-09
2018-316;Série TV;DIX POUR CENT  SAISON 3;;MON VOISIN PRODUCTION;1072;2018-03-30;2018-03-30
2018-19;Série TV;ENGRENAGES S7;Frédéric JARDIN;Son et Lumière;727;2018-01-22;2018-01-25
2018-156;Long métrage;MAIS VOUS ETES FOUS;Audrey DIWAN;RECTANGLE PRODUCTIONS;2229;2018-02-22;2018-02-22
2018-162;Long métrage;ZONE FRANCHE;Monsieur Mohamed Hamidi;ADNP QUAD FILMS;4144;2018-02-23;2018-02-23
2018-171;Long métrage;Andy;David Weill;My Family;242;2018-02-26;2018-02-26
2018-389;Série TV;WHISKEY CAVALIER;Peter Atencio;PENINSULA TELEVISION;382;2018-03-31;2018-03-31
2018-392;Long métrage;MON BEBE;LISA AZUELOS;LOVE IS IN THE AIR;3863;2018-04-09;2018-04-11
2018-423;Long métrage;PLAY;Anthony Marciano;Chapter 2;98;2018-03-28;2018-03-29
2018-342;Long métrage;Andy;Julien Weill;My Family;1836;2018-03-21;2018-03-22
2018-349;Long métrage;MON BEBE;LISA AZUELOS;LOVE IS IN THE AIR;295;2018-03-28;2018-03-29
2018-369;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;5180;2018-03-30;2018-03-30
2018-222;Série TV;DIX POUR CENT SAISON 3;;MON VOISIN PRODUCTION;320;2018-03-12;2018-03-14
2018-477;Téléfilm;Tu vivras ma fille;Gabriel Aghion;GMT PRODUCTIONS;552;2018-04-06;2018-04-06
2018-478;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;3559;2018-04-12;2018-04-18
2018-496;Long métrage;PLAY;Anthony Marciano;Chapter 2;3308;2018-04-12;2018-04-12
2018-507;Série TV;EGLANDINE;FLO BER;STUDIO BAGEL;5108;2018-04-23;2018-04-23
2018-328;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;4258;2018-03-20;2018-03-20
2018-528;Série TV;DIX POUR CENT SAISON 3;;MON VOISIN PRODUCTION;4680;2018-04-16;2018-04-17
2018-538;Long métrage;MON BEBE;LISA AZUELOS;LOVE IS IN THE AIR;4426;2018-04-11;2018-04-13
2018-545;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;48;2018-04-26;2018-04-27
2018-649;Série TV;Can't Buy me love;Renaud Bertrand - Noémie Saglio;Unrated Studio;4138;2018-05-17;2018-05-17
2018-656;Long métrage;LE GENDRE IDEAL;Hector CABELL REYES;KABO FILMS;2493;2018-05-21;2018-05-21
2018-679;Long métrage;DE PERNAS PRO AR 3;Julia Rezende;SWAN;4123;2018-05-29;2018-05-29
2018-682;Long métrage;Britt-Marie Was Here;Tuva Novotny;Shape Production;1501;2018-06-07;2018-06-07
2018-693;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;5123;2018-05-30;2018-05-31
2018-464;Série TV;ALICE NEVERS;VINCENT GIOVANNI;EGO PRoductions;1357;2018-04-12;2018-04-12
2018-468;Long métrage;PLAY;ANTHONY MARCIANO;CHAPTER 2;2265;2018-04-09;2018-04-09
2019-1734;Long métrage;TROP D'AMOUR;Frankie WALLACH;EX NIHILO;4367;2019-12-11;2019-12-11
2019-1755;Série TV;PROFILAGE EPISODES 101/102;ALEXANDRE LAURENT;BEAUBOURG AUDIOVISUEL;4367;2019-12-14;2019-12-15
2018-588;Série TV;BALTHAZAR 3,4 ET 5;VINCENT JAMAIN;BEAUBOURG STORIES;2997;2018-05-11;2018-05-11
2018-602;Long métrage;NAMASTE ENGLAND;Vipul Shah;ifilmfrance;3491;2018-05-15;2018-05-15
2018-614;Série TV;L'art du crime saison 2;Elsa Bennett et Hippolyte Dard;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;4339;2018-05-21;2018-05-21
2018-941;Long métrage;FAHIM;Pierre-François MARTIN-LAVAL;WAITING FOR CINEMA;2366;2018-08-03;2018-08-03
2018-946;Long métrage;C'E TEMPO;Walter VELTRONI;BARBARY FILMS;4780;2018-08-10;2018-08-10
2018-953;Long métrage;It Must Be Heaven;Elia Suleiman;Rectangle Productions;4370;2018-08-16;2018-08-16
2018-958;Long métrage;La nuit, je mens...;Stéphane Batut;ZADIG FILMS;1189;2018-08-21;2018-08-21
2018-978;Série TV;PROFILAGE EP.93/94;JULIEN HOSMALIN / LIONEL MOUGIN;BEAUBOURG AUDIOVISUEL;1279;2018-08-20;2018-08-21
2018-1009;Téléfilm;QUAND SORT LA RECLUSE;Josée DAYAN;PASSIONFILMS;843;2018-08-31;2018-08-31
2019-399;Long métrage;UN VOYAGE EN HIVER;Claus DREXEL;MANEKI FILMS;398;2019-04-05;2019-04-05
2019-407;Série TV;Plan Coeur S2;Noemie Saglio - Renaud Bertrand;MyBox Films;5057;2019-04-12;2019-04-12
2019-749;Long métrage;THE HUNTING;LEO ZHANG;SWEET DREAMS FILMS;3910;2019-06-29;2019-06-29
2019-764;Série TV;BALTHAZAR;Jérémy Minui;BEAUBOURG STORIES;4390;2019-07-12;2019-07-12
2018-1232;Série Web;SKAM SAISON 3 ET 4 SEMAINE 3 SUR 8;DAVID HOURREGUE;GETEVE PRODUCTIONS;1742;2018-10-16;2018-10-17
2019-896;Long métrage;LIBRES;GABRIEL LE BOMIN;VERTIGO PRODUCTIONS;681;2019-07-24;2019-07-25
2019-1229;Long métrage;DES JOURS SAUVAGES;David LANZMANN;SINGLE MAN PRODUCTIONS;3119;2019-10-10;2019-10-11
2019-785;Long métrage;TOUT SIMPLEMENT NOIR;John WAX, Jean-Pascal ZADI;GAUMONT CHEZ GAUMONT PRODUCTION;992;2019-07-05;2019-07-05
2019-809;Série Web;MAKE UP ON THE WAY;David Hugonot Petit;DOROTHEE PEREZ;4234;2019-07-09;2019-07-09
2019-1156;Long métrage;Les Années 10 - L'infiltré;Thierry De Peretti;Les Films Velvet;108;2019-09-17;2019-09-18
2018-1156;Série TV;CANDICE RENOIR SAISON 7 Ep 62-63-64;Pascal Lahmani;BOXEUR 7;4436;2018-10-16;2018-10-17
2018-1179;Long métrage;Voir le Jour;Stanley WOODWARD;LES FILMS DE LA NUIT;4769;2018-10-19;2018-10-19
2019-840;Long métrage;PARENT D'ELEVE;NOEMIE SAGLIO;RECTANGLE PRODUCTIONS;851;2019-07-10;2019-07-12
2019-1189;Long métrage;Les Meilleures;Marion Desseigne Ravel;31 Juin Films;4994;2019-09-24;2019-09-25
2019-1208;Série TV;VAMPIRES;VLADIMIR DE FONTENAY/MARIE MONGE;TETRA MEDIA FICTION;1769;2019-09-28;2019-09-28
2019-1209;Long métrage;DES JOURS SAUVAGES;David LANZMANN;SINGLE MAN PRODUCTIONS;3340;2019-10-07;2019-10-08
2019-1225;Série TV;Oogappels;Will Koopman;HANNA FILMS;4087;2019-09-27;2019-09-27
2018-1207;Série Web;SKAM SAISON 3 ET 4 SEMAINE 2 SUR 8;DAVID HOURREGUE;GETEVE PRODUCTIONS;3221;2018-10-11;2018-10-11
2019-670;Série TV;BARON NOIR;ANTOINE CHEVROLLIER;KWAÏ;3777;2019-06-27;2019-06-27
2019-1033;Long métrage;Les Meilleures;Marion Desseigne Ravel;31 Juin Films;4555;2019-08-31;2019-09-01
2019-1235;Série TV;ASTRID ET RAPHAËLLE;ELSA BENNETT / HIPPOLYTE DARD / FREDERIC BERTHE;JLA PRODUCTIONS;5136;2019-10-03;2019-10-04
2019-1256;Long métrage;Gott du kannst ein Arsch sein;Andre Erkau;Cactus Films;4937;2019-10-02;2019-10-02
2019-14;Série Web;MARIANNE;Samuel BODIN;Empreinte Digitale Marianne;990;2019-01-08;2019-01-08
2019-932;Série TV;FIND ME IN PARIS Saison 3( LENA REVE D'ETOILES);Matt BLOOM, Robert BURKE, Ronan BURKE;Cottonwood media;4112;2019-08-15;2019-08-15
2019-938;Long métrage;T'as Pécho?;Adeline PICAULT;SCARLETT PRODUCTION;2866;2019-08-05;2019-08-06
2019-950;Série TV;Validé;Franck GASTAMBIDE;Mandarin Télévision;3716;2019-08-07;2019-08-07
2019-986;Long métrage;Par-dessus l'épaule de Jonas;Jérôme Bonnell;DIAPHANA FILMS;4838;2019-08-28;2019-08-29
2019-30;Série TV;FAMILY BUSINESS S1;IGOR GOTESMAN;LES FILMS DU KIOSQUE;2614;2019-01-10;2019-01-10
2019-1451;Série Web;Tu Préfèreres;Lise Akoka et Romane Gueret;Superstructure;3435;2019-10-24;2019-10-24
2019-34;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;1231;2019-01-07;2019-01-07
2018-802;Long métrage;MERVEILLES A MONTFERMEIL;Jeanne Balibar;FILM(S);4166;2018-07-10;2018-07-10
2019-36;Téléfilm;Des rêves au-dessus de leur tête;Arnaud Sélignac;SON ET LUMIERE;1488;2019-01-04;2019-01-04
2018-805;Long métrage;CHANSON DOUCE;LUCIE BORLETEAU;WHY NOT PRODUCTIONS;1602;2018-07-10;2018-07-10
2019-66;Téléfilm;Des rêves au-dessus de leur tête;Arnaud Sélignac;SON ET LUMIERE;2004;2019-01-15;2019-01-15
2018-814;Série Web;Sid Lee - Salomon;Eric Meng;Les Initiés;1504;2018-07-11;2018-07-11
2019-1082;Long métrage;Par-dessus l'épaule de Jonas;Jérôme Bonnell;DIAPHANA FILMS;611;2019-09-04;2019-09-04
2018-828;Long métrage;C'est quoi cette famille?! 2;Gabriel Julien Laferrière;BONNE PIOCHE CINEMA;4781;2018-07-23;2018-07-23
2019-1336;Long métrage;LES DEUX ALFRED;Bruno Podalydès;WHY NOT PRODUCTIONS;3685;2019-10-11;2019-10-11
2018-1523;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;267;2018-11-28;2018-11-28
2016-2293;Long métrage;SIMONE BENLOULOU;MYRIAM AZIZA;INCOGNITA;4144;2016-10-13;2016-10-13
2018-1548;Long métrage;La nuit venue;Frederic Farrucci;Koro film;2842;2018-12-12;2018-12-12
2016-2318;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;1135;2016-05-13;2016-05-14
2018-1553;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;3446;2018-12-07;2018-12-07
2016-2326;Long métrage;THE ESCAPE;DOMINIC SAVAGE;HANNA FILMS;4668;2016-10-20;2016-10-20
2019-466;Série TV;ENGRENAGES SAISON 8;Jean-Philippe Amar;SON ET LUMIERE;452;2019-05-22;2019-05-24
2016-2356;Long métrage;LOLA PATER;NADIR MOKNECHE;BLUE MONDAY PRODUCTIONS;3361;2016-04-01;2016-04-02
2019-1471;Série TV;De Gaulle, l'éclat et le secret;François VELLE;EFFERVESCENCE FICTION;4223;2019-10-31;2019-10-31
2016-2360;Long métrage;SOUS LE MEME TOIT;DOMINIQUE FARRUGIA;EUROPA CORP;5462;2016-06-22;2016-06-23
2019-1475;Série TV;Dix pour cent - Saison 4;Antoine GARCEAU - Marc FITOUSSI;Mon Voisin productions;106;2019-11-07;2019-11-07
2016-2365;Série TV;JOSEPHINE ANGE GARDIEN/EPISODE 82;PHILIPPE PROTEAU;DEMD PRODUCTIONS;4028;2016-07-11;2016-07-11
2019-1484;Long métrage;PAR UN DEMI CLAIR MATIN;Bruno Dumont;3B PRODUCTIONS;4681;2019-11-12;2019-11-12
2020-847;Série TV;Sacha;Lea Fazer;Norte Productions;5319;2020-11-24;2020-11-24
