id_lieu;fk_localisation;fk_periode
2016-81;3819;347
2017-1709;4218;1486
2016-88;701;108
2017-1715;835;1464
2016-91;1459;433
2017-1613;4469;1989
2016-1614;4770;668
2017-1631;4144;2113
2016-1653;3020;93
2018-56;4553;2597
2020-334;377;5118
2018-83;5321;2601
2019-614;4293;4119
2018-93;4481;2612
2019-626;4661;4114
2018-123;2483;2673
2019-1598;4470;4774
2017-1570;853;1961
2016-121;3699;834
2018-30;392;2573
2016-123;2101;956
2018-34;4893;2592
2016-126;4786;50
2018-287;4610;2750
2016-163;5378;203
2018-314;2014;2717
2016-176;540;991
2018-168;1741;2701
2016-183;2625;768
2018-395;775;2814
2016-193;3982;378
2018-396;2201;2802
2016-1689;4450;1061
2018-403;5178;2860
2016-1711;1562;309
2018-412;4893;2808
2016-1728;1151;1425
2018-424;3698;2818
2016-1746;5029;409
2018-433;5373;2848
2016-1757;4497;1235
2018-142;1163;2731
2016-1770;3197;1216
2018-338;706;2777
2020-379;3984;5140
2018-348;1028;2801
2020-383;696;5134
2018-363;833;2791
2020-392;4791;5136
2018-367;1444;2795
2020-394;3031;5142
2018-210;4370;2706
2020-398;80;5131
2018-219;2626;2688
2020-400;649;5206
2018-229;4248;2697
2020-439;2947;5169
2018-485;3487;2925
2019-1612;2480;4802
2018-495;4039;2885
2019-1624;4057;4823
2018-704;1602;3038
2018-1315;4040;3479
2018-707;919;3029
2016-233;4164;1282
2018-731;4273;3040
2016-264;2590;102
2018-318;1690;2804
2016-274;3296;1251
2018-321;665;2746
2016-286;3998;583
2018-322;2120;2870
2016-1817;47;516
2018-561;4450;2929
2016-1822;1662;1327
2018-688;2452;3053
2016-1866;3888;1152
2018-463;951;2883
2020-471;2595;5261
2018-1116;2164;3339
2020-473;4137;5201
2018-1151;5338;3410
2020-482;3841;5183
2018-567;278;2916
2020-489;2743;5295
2018-589;361;2962
2020-499;1567;5231
2018-590;758;2954
2019-307;4416;3897
2018-594;189;2959
2019-78;1876;3723
2018-596;3163;2955
2019-327;5373;3898
2018-959;3789;3227
2019-332;4117;3921
2018-960;1192;3211
2016-306;3869;347
2018-987;2038;3241
2016-310;4430;155
2018-1008;623;3248
2016-314;4109;242
2018-1013;4403;3247
2016-375;4702;558
2018-1018;2322;3245
2016-380;3961;176
2018-700;559;3081
2016-385;4584;580
2019-147;3933;3762
2016-1929;2652;801
2019-404;726;3946
2016-1933;1563;946
2019-763;150;4256
2016-1958;857;280
2019-773;4509;4209
2020-549;3831;5224
2019-774;3652;4252
2020-556;3634;5225
2019-1727;5467;4857
2020-594;4136;5313
2018-1227;1565;3359
2020-596;4150;5344
2019-890;4094;4274
2019-1637;5314;4846
2019-901;3832;4384
2019-1671;4774;4833
2019-782;2459;4241
2018-1044;4150;3264
2019-793;4578;4187
2016-410;1760;1253
2019-800;1538;4221
2016-428;2294;739
2019-1139;1178;4453
2016-455;132;894
2019-1165;1772;4501
2016-491;3732;512
2019-1183;2673;4528
2016-497;1095;220
2018-1172;4039;3365
2016-2029;862;757
2018-1176;5283;3423
2016-2068;5332;1398
2018-1197;4367;3352
2018-1055;2772;3281
2019-1186;5147;4480
2019-375;2416;3937
2019-1210;2517;4515
2019-380;3297;3944
2019-667;2862;4130
2016-544;4758;1125
2019-999;2605;4385
2016-580;3959;157
2019-1022;4771;4347
2016-595;5319;983
2019-1040;4467;4367
2020-683;315;5366
2019-1249;2023;4525
2020-697;2375;5365
2019-1270;3236;4616
2020-705;4123;5380
2019-919;3647;4278
2020-736;748;5464
2019-939;2521;4332
2020-749;1535;5386
2019-942;1951;4408
2019-1714;148;4882
2019-953;4036;4399
2019-1718;972;4838
2019-38;2732;3673
2018-1073;1229;3298
2019-69;1670;3705
2016-616;292;445
2019-649;761;4156
2016-642;3879;1324
2018-1415;4186;3537
2016-674;1886;1375
2019-1064;2479;4390
2016-685;139;1133
2019-1078;3816;4447
2016-695;4953;27
2019-1087;3663;4422
2016-2189;3323;1297
2019-1337;1669;4604
2016-2190;3822;5
2019-1346;2998;4671
2016-2209;631;1077
2018-1342;1426;3496
2016-2224;932;746
2016-759;3008;1234
2016-2225;5382;811
2016-785;583;130
2016-2248;4875;10
2016-2292;2405;1082
2016-2252;4562;60
2016-2301;3967;622
2016-2273;3910;4
2016-2306;3486;1335
2016-2282;2081;590
2016-2308;5132;537
2018-1088;1135;3302
2016-2317;725;468
2018-1105;2224;3297
2016-2353;2641;82
2016-710;4278;1160
2020-906;4982;5511
2018-1363;3049;3515
2016-831;3375;726
2018-1372;3733;3502
2016-841;782;407
2019-715;3522;4158
2016-845;4171;1379
2019-1303;738;4653
2016-849;4643;461
2018-1387;389;3533
2016-875;1886;1115
2018-1410;2610;3550
2016-887;4106;464
2018-1508;983;3645
2016-2407;5353;50
2019-414;4098;3957
2016-2418;327;682
2019-431;1038;3947
2016-2435;3209;404
2019-444;3546;3969
2016-2452;5188;694
2019-453;1478;3984
2020-919;528;5510
2019-1416;4144;4642
2020-938;847;5521
2019-1420;3664;4654
2020-973;3321;5556
2019-1426;3897;4716
2016-945;5336;1156
2019-1428;3904;4716
2016-948;1663;1327
2019-1351;3581;4618
2016-952;1910;767
2019-1364;3075;4636
2016-2481;77;1002
2018-1447;1230;3582
2016-2504;437;285
2018-1466;3415;3580
2016-2506;4004;365
2019-1095;1566;4424
2016-2514;4849;1364
2019-1115;2535;4487
2016-2523;3927;274
2019-1129;1814;4517
2016-2544;3319;516
2019-1372;551;4682
2016-2567;4908;960
2019-1409;843;4684
2016-2570;3233;414
2018-750;5182;3069
2020-996;4150;5537
2018-760;1581;3101
2020-1017;3792;5537
2018-781;2098;3134
2020-1021;1268;5537
2018-788;3509;3134
2020-1025;4107;5537
2018-1486;1360;3602
2020-1042;805;5536
2018-883;3329;3149
2020-1053;1289;5571
2018-1569;3715;3663
2020-1054;790;5588
2019-166;2548;3781
2020-1059;954;5545
2016-1017;4352;406
2016-1035;675;1059
2016-2642;5167;461
2016-2665;5119;197
2016-2667;3108;236
2016-2668;4505;276
2016-1037;1011;1340
2016-1041;3830;1022
2016-1074;5066;580
2016-1089;4329;1061
2016-1099;3830;995
2016-1104;2085;265
2016-1113;1515;648
2016-1120;5303;322
2016-1129;5325;12
2016-1180;4793;719
2016-1185;2815;1243
2016-2692;503;141
2016-2704;1171;906
2016-2707;1111;1044
2016-2709;3180;1229
2016-2710;1860;1231
2016-2712;2288;1350
2016-2713;5041;1384
2016-2727;1322;1155
2016-2729;1328;1246
2016-2731;5426;1278
2016-2759;3345;1026
2016-2769;4809;939
2016-1200;2556;58
2016-1214;3781;1160
2016-1215;878;1276
2016-1216;4024;1292
2016-1220;4876;117
2016-1239;5319;669
2016-1251;3237;1376
2016-1293;931;204
2016-2776;1648;1257
2016-2797;5087;264
2020-2;2880;4897
2020-15;5368;4906
2020-37;4094;4919
2016-1316;1902;278
2016-1318;3350;335
2016-1333;4306;987
2016-1347;5256;548
2016-1371;5158;188
2016-1385;4290;994
2020-84;2117;4952
2020-85;2117;4952
2020-130;2675;4966
2016-1409;4502;241
2016-1426;4029;1288
2020-137;1020;4982
2020-147;1625;4979
2020-157;843;4991
2020-163;4334;4989
2020-166;2024;5001
2020-199;2374;5030
2020-210;289;5030
2016-1494;2065;729
2016-1500;2577;1291
2016-1506;4147;813
2016-1516;3477;676
2016-1520;130;954
2016-1555;506;184
2016-1585;2710;54
2020-215;1747;5030
2020-240;2091;5059
2020-256;83;5085
2020-283;233;5083
2016-6;4028;659
2016-11;4819;155
2016-22;5214;737
2016-23;3908;741
2016-33;4927;1057
2016-38;5014;281
2016-72;1029;370
2016-84;2051;731
2016-90;3161;170
2016-1595;3740;696
2016-1615;4143;713
2016-1628;2035;793
2016-1648;3127;375
2016-1656;4690;428
2016-1681;2086;531
2020-328;2262;5100
2020-336;3682;5151
2020-343;960;5154
2020-344;3799;5101
2020-357;783;5227
2019-266;2662;3827
2019-602;3665;4086
2019-607;3792;4118
2019-608;4350;4119
2019-618;5158;4134
2019-623;4616;4143
2019-1605;2534;4742
2016-108;3918;406
2016-151;5166;1061
2016-178;5045;1090
2016-187;1483;61
2016-1688;5012;704
2016-1695;3830;1277
2016-1705;2504;942
2016-1741;4599;951
2016-1747;2569;464
2020-399;144;5145
2020-410;3604;5149
2019-1615;3680;4767
2019-1629;5252;4823
2016-214;3332;1256
2016-218;1980;1050
2016-232;4953;1152
2016-256;3830;863
2016-295;372;773
2016-1798;4529;1169
2016-1820;3178;1261
2016-1834;2175;383
2016-1854;3982;387
2020-466;5068;5192
2020-467;1185;5180
2020-470;4479;5186
2020-475;4774;5222
2020-481;4249;5210
2020-487;1369;5241
2020-490;784;5217
2020-497;3359;5191
2020-505;4459;5238
2019-77;3412;3700
2016-316;841;418
2016-322;1159;703
2016-354;2464;881
2016-356;2076;969
2016-366;344;632
2016-389;3160;699
2016-1907;4381;67
2016-1909;4891;929
2016-1927;942;738
2016-1939;3757;91
2016-1951;68;933
2016-1973;4981;537
2020-528;1361;5320
2020-529;594;5213
2020-570;652;5294
2020-582;342;5264
2020-588;1675;5279
2020-591;4087;5344
2018-1032;4202;3246
2016-436;2300;1392
2016-442;1083;185
2016-443;482;265
2016-459;4925;1300
2016-476;3962;206
2016-489;4736;1034
2016-502;4742;1156
2016-503;229;1283
2016-1992;3869;1152
2016-2034;4883;890
2016-2037;644;988
2016-2070;4442;155
2020-606;4947;5277
2020-624;181;5314
2020-633;2686;5336
2020-638;462;5306
2020-643;3949;5347
2020-651;3507;5332
2018-1050;4410;3275
2018-1060;4527;3267
2019-101;2720;3748
2019-382;2910;3934
2016-583;534;211
2016-587;5259;428
2016-592;2868;733
2016-596;4330;1031
2016-604;5102;1321
2016-2102;5202;1200
2016-2122;3104;1147
2016-2158;3569;85
2016-2180;4963;649
2016-2184;3782;1124
2020-687;2327;5360
2020-688;2265;5387
2020-710;5436;5329
2020-726;4203;5342
2020-734;4424;5382
2020-744;107;5394
2020-746;2319;5392
2020-750;1226;5391
2020-756;3796;5410
2019-396;1310;3923
2019-1702;2966;4844
2016-684;3889;322
2016-2204;5456;879
2016-2238;3775;543
2016-2239;1982;628
2016-2264;227;1278
2020-787;3346;5421
2020-789;432;5427
2020-827;3116;5458
2018-1075;3266;3311
2018-1083;2931;3315
2018-1097;1549;3304
2018-1100;4528;3335
2016-720;5403;151
2016-734;3144;321
2018-1369;3557;3471
2019-684;4095;4137
2019-709;3759;4164
2019-716;4281;4158
2019-1289;4324;4575
2019-1315;1622;4605
2019-1316;1673;4585
2018-1407;617;3550
2019-415;1388;3953
2019-417;4293;3962
2019-447;3570;3993
2019-1417;3069;4637
2019-1431;941;4657
2019-1433;4095;4676
2019-1358;2092;4618
2018-1432;40;3531
2018-1449;873;3573
2019-1125;4911;4457
2019-1397;2865;4615
2019-1398;1963;4615
2019-1406;3811;4622
2019-1411;542;4695
2018-757;2236;3111
2018-761;5244;3061
2018-1473;2116;3566
2019-505;1840;4019
2019-519;2854;4042
2019-521;2180;4020
2019-1441;930;4662
2019-1445;1431;4678
2018-809;4968;3118
2018-812;4537;3099
2018-823;4446;3131
2018-1515;892;3606
2018-1552;2146;3653
2018-1555;2134;3656
2018-1556;120;3655
2019-459;4498;3988
2019-476;1904;4035
2019-487;589;3992
2019-500;3690;4000
2019-501;931;4021
2019-1467;3950;4681
2019-1490;913;4743
2019-1496;4543;4706
2018-1266;2003;3439
2019-541;2638;4030
2019-544;5299;4039
2019-1513;1114;4729
2018-898;2226;3176
2019-204;3012;3835
2019-222;4140;3809
2019-560;1996;4040
2019-562;2600;4068
2019-576;4124;4059
2019-578;3767;4050
2019-1544;5089;4749
2019-1556;4434;4751
2019-1562;4860;4756
2019-1569;4459;4741
2017-359;4760;2136
2017-374;4136;2068
2017-375;4346;2048
2017-376;3187;2053
2016-2622;3735;1427
2017-113;1829;1616
2017-210;846;1595
2017-13;1958;1478
2017-20;3397;1509
2017-35;359;1492
2017-61;4732;1530
2017-69;160;1547
2017-324;4928;1704
2017-327;3353;1673
2017-333;4339;2037
2017-354;4821;2018
2017-165;4918;1567
2017-499;5136;2244
2017-504;973;2151
2017-524;1524;2177
2017-546;349;2212
2017-565;3591;2199
2017-262;1136;1632
2017-451;4706;2080
2017-455;4378;2116
2017-626;340;2246
2017-633;2755;1686
2017-652;1031;2276
2017-661;4399;2282
2017-667;5218;2284
2017-677;4372;2249
2017-682;3628;2250
2017-688;4913;2279
2017-693;4288;2271
2017-386;4144;2099
2017-393;3860;2169
2017-396;4247;2182
2017-397;1056;2089
2017-595;4453;2205
2017-600;1924;2235
2017-481;4673;2261
2017-484;4808;2270
2017-887;2994;2423
2017-888;1299;2411
2017-760;2901;2346
2017-768;1583;2335
2017-775;4905;2327
2017-962;4684;2424
2017-968;829;2473
2017-970;3649;2412
2017-975;2854;2448
2017-701;4701;2226
2017-717;3038;2285
2017-724;4329;2310
2017-1196;202;1775
2017-1207;1632;1733
2017-1067;1001;2513
2017-1083;1403;2528
2017-1088;2828;2515
2017-1116;3262;2530
2017-902;3843;2409
2017-922;428;2377
2017-925;1323;2441
2017-933;2819;2441
2017-1126;4234;2540
2017-1231;4329;1739
2017-1240;1360;1788
2017-1251;2442;1751
2017-1252;698;1756
2017-1259;3883;1811
2017-1051;4561;2470
2017-1402;5158;1883
2017-1423;4460;1434
2017-1294;3377;1801
2017-1183;1859;1768
2017-1512;1850;1976
2017-1528;1196;1910
2017-1530;627;1915
2017-1552;863;1945
2017-1427;5413;1881
2017-1438;2246;1852
2017-1322;2973;1724
2017-1362;4239;1811
2017-1672;4572;2026
2017-1676;2973;2002
2017-1685;4753;1430
2017-1690;4235;1430
2017-1702;5234;1451
2017-1738;2754;1481
2017-1618;5130;1975
2017-1480;5071;1919
2017-1484;3726;1880
2018-64;2089;2611
2018-66;3052;2621
2018-74;2689;2599
2018-82;4158;2646
2018-100;4177;2640
2018-104;2120;2641
2018-124;3385;2656
2018-129;4567;2665
2017-1582;48;1982
2018-33;5392;2577
2018-41;3318;2590
2018-43;4283;2589
2018-50;893;2607
2018-53;5179;2594
2018-257;2174;2685
2018-258;4853;2726
2018-286;4845;2750
2018-294;2781;2737
2018-305;4290;2766
2018-166;2017;2655
2018-404;4248;2856
2018-444;3813;2838
2018-445;3735;2855
2018-341;344;2790
2018-343;1851;2781
2018-213;1144;2686
2018-227;5107;2729
2018-484;3487;2922
2018-711;4394;3039
2018-729;4491;3055
2018-733;1346;3063
2018-737;591;3066
2018-331;4370;2787
2018-547;3913;2929
2018-681;1501;3035
2018-458;2341;2875
2019-1745;4503;4878
2019-1746;4070;4878
2019-1756;5263;4876
2018-1131;2670;3327
2018-1142;2355;3323
2018-1144;1498;3308
2018-1149;1644;3320
2018-595;3163;2955
2018-601;4801;2965
2018-995;4234;3225
2018-997;1778;3236
2018-1012;4835;3240
2019-131;3487;3728
2019-138;1937;3747
2019-139;1566;3757
2019-141;4083;3757
2019-142;4036;3758
2019-145;3437;3778
2019-155;4087;3759
2019-412;4246;3953
2019-760;254;4246
2018-1229;3764;3434
2018-1230;4593;3434
2019-870;4321;4266
2019-874;287;4253
2019-891;4102;4288
2019-894;2193;4289
2019-900;316;4344
2019-910;874;4329
2019-783;1769;4254
2019-788;2342;4202
2019-804;4310;4217
2019-811;376;4214
2019-1143;4150;4491
2019-1170;125;4542
2018-1165;2007;3354
2018-1180;2758;3405
2018-1182;576;3363
2018-1192;912;3378
2018-1196;4202;3352
2019-842;5319;4237
2019-1021;4310;4298
2019-1240;3005;4514
2018-1245;2217;3421
2019-19;3737;3710
2019-936;2816;4348
2019-1273;1804;4629
2019-976;1683;4370
2019-47;2644;3672
2018-1418;3184;3529
2019-1059;221;4425
2019-1334;2282;4570
2018-1343;2967;3551
2016-762;1108;989
2016-777;4260;859
2016-792;961;707
2016-801;3066;497
2016-2291;1620;1035
2016-2296;3485;1335
2016-2305;673;1136
2016-2321;4155;923
2016-2352;906;1088
2016-2362;3689;461
2016-2363;497;545
2020-853;2309;5476
2020-879;4150;5434
2020-884;2827;5532
2020-896;2698;5475
2016-812;4617;883
2016-813;11;891
2016-815;5039;1025
2016-839;5427;1386
2016-853;4067;218
2016-897;4458;1331
2016-2399;385;400
2016-2430;5295;779
2020-960;3846;5492
2020-986;1403;5555
2016-907;2254;773
2016-915;3336;55
2016-942;2139;377
2018-1371;3891;3525
2016-944;4459;1337
2018-1375;4378;3530
2016-953;4955;777
2018-1376;2658;3530
2016-977;2403;1333
2019-1045;3541;4358
2016-2510;4008;1123
2019-1294;2889;4573
2016-2511;1218;1130
2019-1299;4290;4691
2016-2516;4998;1398
2019-1304;4339;4630
2016-2540;2853;1061
2019-1307;3584;4648
2020-995;4150;5537
2019-1326;1430;4596
2020-1015;3792;5537
2018-1401;1862;3521
2020-1044;2193;5553
2019-413;1283;3950
2020-1055;1678;5542
2019-421;3501;3966
2020-1060;954;5554
2019-423;3026;3949
2016-1006;4242;1327
2019-429;721;3960
2016-1007;4435;1061
2019-440;1845;3968
2016-1010;1222;961
2019-1414;4188;4668
2016-1015;4917;347
2019-1427;786;4674
2016-2637;4574;557
2019-1348;3519;4709
2016-2661;4366;1007
2019-1349;4299;4709
2016-2666;783;203
2019-1353;709;4636
2016-1063;5353;49
2018-1452;2449;3579
2016-1081;1221;840
2018-1462;2007;3542
2016-1087;1434;336
2019-1111;3304;4463
2020-1078;954;5576
2019-1121;2617;4499
2020-1097;2717;5601
2019-1396;1649;4615
2020-1098;2717;5601
2019-1412;4123;4643
2020-1105;4705;5601
2018-747;561;3062
2020-1114;4884;5601
2018-768;3495;3080
2020-1133;4752;5601
2018-784;3597;3134
2020-1142;4043;5601
2018-787;4905;3129
2016-1110;5440;471
2018-1481;1609;3602
2016-1133;1220;982
2018-1503;5263;3605
2016-1143;2574;504
2016-1150;4428;1015
2016-1179;3929;618
2016-2694;2845;203
2016-2699;935;599
2019-181;1796;3818
2016-2718;3961;419
2019-518;162;4046
2016-2730;371;1256
2019-1452;1017;4660
2016-2735;2415;961
2018-822;4087;3114
2016-2745;4538;251
2018-1538;2120;3628
2016-2772;850;394
2018-1541;1158;3636
2020-1151;4459;5596
2018-1550;293;3639
2020-1152;4123;5596
2019-464;250;3976
